,Make,Model Family,Year,Price_USD_Thousands,Mileage,Listing Year,_make_model
83,FERRARI,360,2003,68.35443037974683,28000.0,2023,FERRARI_360
84,FERRARI,360,2001,77.5,25000.0,2023,FERRARI_360
85,FERRARI,360,2001,69.8645569620253,28000.0,2023,FERRARI_360
86,FERRARI,360,2004,97.5,24000.0,2023,FERRARI_360
87,FERRARI,360,2000,70.861,70000.0,2023,FERRARI_360
88,FERRARI,360,2004,220.0,12000.0,2023,FERRARI_360
89,FERRARI,360,2004,70.0,30000.0,2023,FERRARI_360
90,FERRARI,360,2002,67.0886075949367,35100.0,2023,FERRARI_360
91,FERRARI,360,2002,63.0,25813.0,2023,FERRARI_360
92,FERRARI,360,1999,87.5,19000.0,2023,FERRARI_360
93,FERRARI,360,2001,64.5,64000.0,2023,FERRARI_360
94,FERRARI,360,2005,180.0,20000.0,2023,FERRARI_360
95,FERRARI,360,2001,125.5,29000.0,2023,FERRARI_360
96,FERRARI,360,2001,80.0,16000.0,2023,FERRARI_360
97,FERRARI,360,1999,76.0,36800.0,2023,FERRARI_360
98,FERRARI,360,2004,66.58227848101266,27583.0,2024,FERRARI_360
99,FERRARI,360,2001,137.5,42468.0,2023,FERRARI_360
100,FERRARI,360,2004,135.0,10000.0,2023,FERRARI_360
101,FERRARI,360,2000,105.001,18360.0,2023,FERRARI_360
102,FERRARI,360,2000,80.0,43000.0,2023,FERRARI_360
103,FERRARI,360,2003,89.5,18000.0,2023,FERRARI_360
104,FERRARI,360,2003,81.69934640522877,19387.0,2023,FERRARI_360
105,FERRARI,360,2004,201.0,33000.0,2023,FERRARI_360
106,FERRARI,360,2002,95.0,18000.0,2023,FERRARI_360
107,FERRARI,360,2003,85.0,37000.0,2023,FERRARI_360
108,FERRARI,360,2005,69.62025316455696,23600.0,2023,FERRARI_360
109,FERRARI,360,2001,85.0,15621.0,2024,FERRARI_360
110,FERRARI,360,2001,85.0,15621.0,2024,FERRARI_360
111,FERRARI,360,2001,79.08496732026144,22214.0,2023,FERRARI_360
112,FERRARI,360,2004,99.68354430379746,17000.0,2023,FERRARI_360
113,FERRARI,360,2001,67.09113924050632,4793.0,2023,FERRARI_360
114,FERRARI,360,2002,92.74193548387098,12782.0,2023,FERRARI_360
115,FERRARI,360,2003,132.0,19000.0,2023,FERRARI_360
116,FERRARI,360,2000,79.86,18000.0,2023,FERRARI_360
117,FERRARI,360,2003,81.501,21000.0,2024,FERRARI_360
118,FERRARI,360,2000,85.44303797468353,56000.0,2023,FERRARI_360
120,FERRARI,360,2004,270.0,9500.0,2023,FERRARI_360
121,FERRARI,360,2002,69.89247311827957,42819.0,2023,FERRARI_360
122,FERRARI,360,2000,64.51612903225806,52037.0,2023,FERRARI_360
124,FERRARI,360,2001,110.0,14000.0,2023,FERRARI_360
125,FERRARI,360,2001,215.6,5001.0,2023,FERRARI_360
126,FERRARI,360,2000,80.0,43000.0,2023,FERRARI_360
127,FERRARI,360,2002,65.59139784946235,23686.0,2023,FERRARI_360
128,FERRARI,360,2000,75.5,29000.0,2023,FERRARI_360
129,FERRARI,360,2000,86.55913978494624,51814.0,2023,FERRARI_360
130,FERRARI,360,2002,128.0,26000.0,2023,FERRARI_360
133,FERRARI,360,2000,60.75,11905.0,2023,FERRARI_360
134,FERRARI,360,2001,101.1,30000.0,2023,FERRARI_360
135,FERRARI,360,2001,107.0,24873.0,2023,FERRARI_360
136,FERRARI,360,2005,128.8,10089.0,2022,FERRARI_360
137,FERRARI,360,1999,87.0,25000.0,2022,FERRARI_360
138,FERRARI,360,2000,49.36708860759493,37019.0,2022,FERRARI_360
139,FERRARI,360,2004,64.5,18614.0,2022,FERRARI_360
140,FERRARI,360,1999,112.6,32000.0,2022,FERRARI_360
141,FERRARI,360,2005,115.5,13859.0,2023,FERRARI_360
142,FERRARI,360,2000,61.0,51000.0,2022,FERRARI_360
143,FERRARI,360,2004,132.0,21000.0,2022,FERRARI_360
144,FERRARI,360,2004,154.37908496732027,23905.0,2022,FERRARI_360
145,FERRARI,360,2001,110.0,21000.0,2022,FERRARI_360
148,FERRARI,360,2004,98.0,4400.0,2022,FERRARI_360
149,FERRARI,360,2000,78.0,36400.0,2022,FERRARI_360
150,FERRARI,360,2004,85.0,20600.0,2022,FERRARI_360
151,FERRARI,360,2000,120.0,32000.0,2022,FERRARI_360
153,FERRARI,360,2003,123.0,22000.0,2022,FERRARI_360
154,FERRARI,360,2001,62.379746835443036,4547.0,2022,FERRARI_360
155,FERRARI,360,1999,77.527,18826.0,2022,FERRARI_360
156,FERRARI,360,2000,94.0,49000.0,2022,FERRARI_360
157,FERRARI,360,1999,75.0,34000.0,2022,FERRARI_360
158,FERRARI,360,2003,40.88888888888889,16074.0,2022,FERRARI_360
159,FERRARI,360,1999,75.0,28000.0,2024,FERRARI_360
160,FERRARI,360,2001,71.5,28808.0,2024,FERRARI_360
161,FERRARI,360,2001,62.0,34200.0,2022,FERRARI_360
162,FERRARI,360,2003,136.0,23000.0,2022,FERRARI_360
163,FERRARI,360,2000,113.0,12000.0,2022,FERRARI_360
164,FERRARI,360,2003,126.5,13000.0,2022,FERRARI_360
165,FERRARI,360,2000,105.0,25300.0,2023,FERRARI_360
166,FERRARI,360,2002,64.62365591397848,45716.0,2022,FERRARI_360
167,FERRARI,360,2003,84.81012658227847,18570.0,2022,FERRARI_360
168,FERRARI,360,2001,125.0,26160.0,2023,FERRARI_360
169,FERRARI,360,2004,210.36,33000.0,2022,FERRARI_360
170,FERRARI,360,1999,130.0,32000.0,2022,FERRARI_360
171,FERRARI,360,2003,171.0,19000.0,2022,FERRARI_360
173,FERRARI,360,2004,89.0,38000.0,2022,FERRARI_360
174,FERRARI,360,2001,175.0,8699.0,2023,FERRARI_360
175,FERRARI,360,2004,87.5,17000.0,2022,FERRARI_360
176,FERRARI,360,2004,160.0,15000.0,2022,FERRARI_360
177,FERRARI,360,2001,82.5,12110.0,2022,FERRARI_360
178,FERRARI,360,2002,56.45696202531646,42000.0,2022,FERRARI_360
179,FERRARI,360,2004,215.0,20000.0,2022,FERRARI_360
180,FERRARI,360,2001,84.01898734177216,7447.0,2022,FERRARI_360
181,FERRARI,360,2003,188.0,25000.0,2022,FERRARI_360
182,FERRARI,360,2003,203.36,5000.0,2022,FERRARI_360
183,FERRARI,360,2002,98.36601307189542,39314.0,2022,FERRARI_360
184,FERRARI,360,2004,76.5,28000.0,2022,FERRARI_360
185,FERRARI,360,2001,134.0,23000.0,2022,FERRARI_360
186,FERRARI,360,2000,136.0,40000.0,2022,FERRARI_360
187,FERRARI,360,2003,313.0,9897.0,2022,FERRARI_360
188,FERRARI,360,2004,162.0,704.0,2022,FERRARI_360
189,FERRARI,360,2000,70.0,21800.0,2022,FERRARI_360
190,FERRARI,360,2001,51.58227848101265,62416.0,2022,FERRARI_360
191,FERRARI,360,2000,146.36,10000.0,2022,FERRARI_360
192,FERRARI,360,2005,86.5,27000.0,2022,FERRARI_360
193,FERRARI,360,2000,79.1139240506329,23701.0,2022,FERRARI_360
194,FERRARI,360,2004,77.21518987341773,20800.0,2022,FERRARI_360
195,FERRARI,360,2000,156.75,16370.0,2022,FERRARI_360
